timestamp,src_ip,dst_ip,host,uri,interval_seconds
2024-11-26 12:15:49.936096,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.055874
2024-11-26 12:16:50.090084,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153988
2024-11-26 12:17:50.148715,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.058631
2024-11-26 12:18:50.207754,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.059039
2024-11-26 12:19:50.367131,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.159377
2024-11-26 12:20:50.424378,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.057247
2024-11-26 12:21:50.485705,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.061327
2024-11-26 12:22:50.640951,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.155246
2024-11-26 12:23:50.794559,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153608
2024-11-26 12:24:51.056411,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.261852
2024-11-26 12:25:51.112829,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.056418
2024-11-26 12:26:51.175685,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.062856
2024-11-26 12:27:51.330432,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.154747
2024-11-26 12:28:51.593448,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.263016
2024-11-26 12:29:51.748754,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.155306
2024-11-26 12:30:52.010090,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.261336
2024-11-26 12:31:52.161738,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.151648
2024-11-26 12:32:52.411164,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.249426
2024-11-26 12:33:52.561197,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.150033
2024-11-26 12:34:52.717415,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.156218
2024-11-26 12:35:52.967228,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.249813
2024-11-26 12:36:53.228563,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.261335
2024-11-26 12:37:53.382552,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153989
2024-11-26 12:38:53.536694,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.154142
2024-11-26 12:40:28.801338,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,95.264644
2024-11-26 12:40:29.009850,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,0.208512
2024-11-26 12:40:29.317405,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,0.307555
2024-11-26 12:41:29.372894,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.055489
2024-11-26 12:42:29.528770,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.155876
2024-11-26 12:43:29.682016,10.11.26.183,194.180.191.64,194.180.191.64,http://194.180.191.64/fakeurl.htm,60.153246
