timestamp,src_ip,dst_ip,query
2024-11-26 11:50:16.459658,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:16.459754,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:16.461213,10.11.26.183,10.11.26.3,fonts.googleapis.com
2024-11-26 11:50:16.461279,10.11.26.183,10.11.26.3,fonts.googleapis.com
2024-11-26 11:50:16.461508,10.11.26.3,10.11.26.183,fonts.googleapis.com
2024-11-26 11:50:16.461644,10.11.26.3,10.11.26.183,fonts.googleapis.com
2024-11-26 11:50:16.467169,10.11.26.183,10.11.26.3,www.gstatic.com
2024-11-26 11:50:16.467247,10.11.26.183,10.11.26.3,www.gstatic.com
2024-11-26 11:50:16.467534,10.11.26.3,10.11.26.183,www.gstatic.com
2024-11-26 11:50:16.527922,10.11.26.3,10.11.26.183,www.gstatic.com
2024-11-26 11:50:16.649524,10.11.26.183,10.11.26.3,fonts.gstatic.com
2024-11-26 11:50:16.649593,10.11.26.183,10.11.26.3,fonts.gstatic.com
2024-11-26 11:50:16.649854,10.11.26.3,10.11.26.183,fonts.gstatic.com
2024-11-26 11:50:16.649948,10.11.26.3,10.11.26.183,fonts.gstatic.com
2024-11-26 11:50:16.731036,10.11.26.183,10.11.26.3,code.jquery.com
2024-11-26 11:50:16.731109,10.11.26.183,10.11.26.3,code.jquery.com
2024-11-26 11:50:16.780201,10.11.26.3,10.11.26.183,code.jquery.com
2024-11-26 11:50:16.783489,10.11.26.3,10.11.26.183,code.jquery.com
2024-11-26 11:50:18.944669,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:50:18.944965,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:50:18.945228,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:50:18.945400,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:50:22.974195,10.11.26.183,10.11.26.3,www.bing.com
2024-11-26 11:50:22.974289,10.11.26.183,10.11.26.3,www.bing.com
2024-11-26 11:50:22.974687,10.11.26.3,10.11.26.183,www.bing.com
2024-11-26 11:50:23.053128,10.11.26.3,10.11.26.183,www.bing.com
2024-11-26 11:50:23.131197,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:23.131278,10.11.26.183,10.11.26.3,edge.microsoft.com
2024-11-26 11:50:23.131584,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:23.131700,10.11.26.3,10.11.26.183,edge.microsoft.com
2024-11-26 11:50:38.014376,10.11.26.183,10.11.26.3,checkappexec.microsoft.com
2024-11-26 11:50:38.033346,10.11.26.3,10.11.26.183,checkappexec.microsoft.com
2024-11-26 11:50:40.541323,10.11.26.183,10.11.26.3,modandcrackedapk.com
2024-11-26 11:50:40.541627,10.11.26.3,10.11.26.183,modandcrackedapk.com
2024-11-26 11:50:40.759860,10.11.26.183,10.11.26.3,r10.o.lencr.org
2024-11-26 11:50:40.793456,10.11.26.3,10.11.26.183,r10.o.lencr.org
2024-11-26 11:50:45.646175,10.11.26.183,10.11.26.3,geo.netsupportsoftware.com
2024-11-26 11:50:45.678408,10.11.26.3,10.11.26.183,geo.netsupportsoftware.com
2024-11-26 11:50:48.371153,10.11.26.183,10.11.26.3,v10.events.data.microsoft.com
